Sim latency at ReqAveWait:0.005 ReqSize:8192B SampleNum:40000 Ave:13.5207 P50: 7.3313 P90:23.0859 P99:51.5332 P999:84.9959 P9999:121.3519
startTime,latency
1,7.2746
1.00274,22.8817
1.01306,7.35637
1.0164,7.23108
1.01837,7.38921
1.03377,7.24574
1.04527,7.2514
1.04643,7.36709
1.04656,22.9121
1.05181,22.9331
1.06446,7.38841
1.06968,7.22599
1.07093,10.9773
1.07247,23.0206
1.07381,22.9538
1.08194,7.23551
1.08462,9.79158
1.08918,7.25631
1.09052,7.31321
1.10614,7.42992
1.10758,7.20324
1.11395,7.41689
1.11598,22.9
1.12402,22.9499
1.12714,7.25177
1.14213,22.9876
1.1452,7.2785
1.14825,7.33388
1.14856,22.882
1.15284,22.9274
1.15915,26.5907
1.16877,7.23978
1.16905,37.3819
1.17222,7.20645
1.17804,7.27688
1.18191,7.24694
1.18781,7.49077
1.20552,7.20624
1.21065,7.25033
1.21643,22.9082
1.21967,22.9387
1.22099,23.0171
1.22533,22.9326
1.22613,22.9437
1.23055,7.22781
1.23229,7.23596
1.24412,22.9095
1.24421,7.40446
1.24684,7.46313
1.25137,23.0204
1.25361,41.4192
1.2584,7.35351
1.26035,7.20474
1.26583,7.33054
1.27612,39.519
1.29143,7.25249
1.31029,22.9062
1.31329,7.21602
1.31467,7.28121
1.3193,23.0057
1.33654,7.30757
1.33689,7.26991
1.33982,9.29115
1.34124,7.51034
1.3417,7.23783
1.3432,7.21974
1.34855,7.25144
1.35268,7.23622
1.36088,7.40276
1.38432,22.964
1.39575,7.30595
1.43981,7.23881
1.44125,22.9303
1.44551,7.32101
1.44595,7.26873
1.44676,7.38862
1.45148,7.23654
1.45504,7.21211
1.45764,7.33698
1.46631,7.35345
1.47288,7.33972
1.47288,7.29694
1.47482,7.26688
1.47538,7.27364
1.4801,22.937
1.48311,22.9146
1.48357,43.164
1.48566,7.27088
1.48575,7.25163
1.50193,7.38641
1.50282,7.21862
1.50284,7.20338
1.50509,7.39236
1.50568,7.38194
1.50702,7.22874
1.51923,7.23807
1.53121,7.30047
1.53969,7.23163
1.54066,22.9272
1.54771,7.23107
1.54933,22.9869
1.55287,7.29459
1.55726,35.6886
1.56529,7.21303
1.56741,7.2969
1.5703,23.0017
1.57298,7.29012
1.57447,39.2443
1.57535,7.32449
1.58255,22.903
1.58726,7.25655
1.5928,7.44932
1.5999,34.5204
1.60991,7.40478
1.6119,7.26394
1.6135,22.9403
1.61414,7.39651
1.62258,7.25862
1.63105,7.22756
1.63176,7.40189
1.64091,7.23494
1.65112,22.8978
1.65159,7.26513
1.65244,22.936
1.65389,7.22873
1.65512,7.27415
1.67748,7.38848
1.67749,22.9006
1.67968,22.9813
1.69214,7.24919
1.69395,10.4313
1.69434,7.24555
1.70052,7.20456
1.70087,22.9255
1.70305,7.24452
1.71174,7.59668
1.71406,30.4652
1.71793,7.32622
1.72128,7.45713
1.73379,7.28974
1.74341,23.0914
1.75066,7.2727
1.75132,7.24101
1.75378,7.36952
1.76444,7.21232
1.7645,22.8838
1.7657,7.25337
1.76961,7.2897
1.7761,7.24076
1.79277,7.20273
1.79534,22.9063
1.80681,7.21195
1.80695,22.9128
1.8104,7.27865
1.81322,7.42058
1.82504,22.9465
1.82838,7.20139
1.83821,7.20682
1.83916,22.9073
1.8419,7.25072
1.84417,22.9016
1.84625,7.23202
1.85544,22.9266
1.86066,22.9377
1.86089,22.9065
1.86286,7.27392
1.86287,7.23084
1.8631,22.9794
1.86426,7.49781
1.86459,10.5081
1.87613,7.3634
1.87708,23.0433
1.87946,22.9976
1.87974,7.22885
1.90012,22.8872
1.90097,7.2512
1.90326,9.93976
1.90941,7.20528
1.9124,22.884
1.92101,7.21532
1.92305,7.25313
1.93172,7.36151
1.96212,7.23023
1.96637,7.34163
1.96836,22.978
1.97839,7.22615
1.99846,22.9165
2.00661,7.4415
2.0071,23.1459
2.01143,7.3871
2.01528,7.29307
2.01846,7.28701
2.03675,7.22459
2.03689,7.27114
2.03792,22.9847
2.04047,9.01214
2.0415,12.6176
2.04157,7.31894
2.04206,11.814
2.04355,22.9538
2.04562,7.48041
2.04944,8.50402
2.05405,7.24249
2.05729,7.23759
2.05994,23.1245
2.0665,7.40395
2.06821,7.35316
2.06984,8.88749
2.0714,22.9204
2.07489,7.27411
2.08592,7.28497
2.09635,7.236
2.10337,7.25084
2.11747,7.23633
2.12006,7.24278
2.12333,7.25697
2.13134,7.30593
2.13264,22.9533
2.13783,7.24609
2.13935,7.29596
2.1394,7.25471
2.15101,7.23278
2.15323,7.38087
2.15367,7.22505
2.15775,7.2901
2.16071,22.9028
2.16416,7.20441
2.16938,23.0152
2.16989,7.231
2.17014,7.20793
2.17628,7.22918
2.18005,7.27753
2.18006,12.3834
2.18028,22.9175
2.18049,16.803
2.18207,7.24145
2.18246,22.9435
2.18612,27.1104
2.18877,7.25576
2.20479,7.22566
2.20752,22.9714
2.21708,7.32886
2.22555,7.29104
2.22586,7.41687
2.23413,7.24744
2.25096,7.3082
2.26452,7.35029
2.26571,22.9122
2.26936,7.29946
2.27368,35.6833
2.27369,7.445
2.27796,7.23239
2.29243,7.26727
2.30551,7.2946
2.32098,7.24735
2.32101,22.9181
2.3253,7.21446
2.32931,22.9784
2.33843,7.29643
2.33874,23.006
2.34565,7.38749
2.34739,7.31685
2.34975,7.27494
2.35139,7.30303
2.35221,23.0042
2.3612,22.8733
2.36367,41.085
2.37583,22.889
2.3775,23.0376
2.3785,22.8878
2.38443,7.34981
2.38658,22.9705
2.38724,7.26424
2.39038,7.31163
2.40534,7.35928
2.40596,7.21612
2.41375,22.8808
2.41572,7.42283
2.42316,7.26193
2.43016,22.8747
2.43403,7.36852
2.43511,23.0089
2.4407,7.24955
2.44088,12.2497
2.44437,13.5573
2.44844,7.24615
2.4631,7.52986
2.46765,7.20942
2.47265,22.9334
2.4735,42.8904
2.47865,7.22782
2.49088,7.27328
2.49266,7.2353
2.49789,39.1992
2.49835,7.25899
2.50184,7.30001
2.50302,7.22
2.50573,7.69626
2.51248,22.9631
2.51865,39.0306
2.52794,22.9223
2.53256,22.9119
2.53282,7.21164
2.5362,7.30115
2.54206,7.21328
2.5456,7.23937
2.56005,7.34746
2.56576,22.9089
2.57646,7.33912
2.57906,7.40096
2.58608,7.24384
2.58636,7.2816
2.58976,7.31084
2.59676,7.21471
2.59688,7.2957
2.59739,7.40975
2.60277,7.2186
2.60372,7.22283
2.61055,7.32362
2.61283,22.8845
2.61538,7.24631
2.61785,7.2411
2.61908,7.27876
2.62213,7.23244
2.63725,7.22356
2.64743,22.9891
2.65105,22.8874
2.65473,22.9202
2.66021,7.32038
2.6738,7.44401
2.67598,23.057
2.67691,7.41433
2.67704,22.9043
2.68436,7.20839
2.68729,7.28191
2.70096,7.28238
2.70191,23.1116
2.70684,7.21467
2.70796,7.2284
2.71016,35.486
2.71446,7.25313
2.71592,7.69731
2.71601,22.9069
2.71815,7.33532
2.72502,7.40563
2.73734,7.24159
2.74448,7.20303
2.74671,7.32403
2.75247,7.42656
2.76161,7.22045
2.77076,7.27177
2.77272,7.2687
2.78221,7.26025
2.78865,22.9917
2.78933,7.26498
2.79083,7.6366
2.79319,8.47793
2.7985,8.33355
2.80302,22.9447
2.80364,22.9063
2.81658,7.49578
2.81755,7.30306
2.81914,22.8925
2.82161,7.21556
2.83863,7.22785
2.84071,7.31846
2.85592,22.9933
2.85828,7.2727
2.8643,22.9005
2.86633,7.26182
2.86653,22.9165
2.87018,7.255
2.8737,7.39532
2.88669,7.30311
2.89272,7.26061
2.89415,22.9795
2.89601,23.0164
2.89884,22.9695
2.90128,36.6446
2.91066,28.946
2.92136,7.23874
2.92432,34.1813
2.9248,54.6647
2.92913,7.26361
2.93325,7.2203
2.94088,7.22077
2.94301,22.9162
2.95286,7.34394
2.95667,7.25552
2.95891,10.0054
2.96039,43.8038
2.96647,33.4876
2.96878,22.9596
2.96913,7.3599
2.9718,48.7472
2.97928,62.2841
2.98265,7.24777
2.98394,28.4724
2.99355,7.30248
2.99393,7.26346
3.00308,23.0126
3.00654,7.41215
3.00777,7.24783
3.01089,22.9376
3.01541,22.9237
3.02586,7.28271
3.0286,30.5245
3.0288,7.23764
3.02885,25.7255
3.03443,7.27885
3.03785,7.58516
3.0442,22.9093
3.0465,23.0528
3.04968,7.26991
3.051,7.30544
3.05187,38.2774
3.05452,25.2188
3.05459,8.65554
3.05907,9.23319
3.08899,22.8862
3.09385,7.30255
3.10004,7.34093
3.10255,7.26332
3.10503,23.0785
3.10712,7.23197
3.11034,22.8995
3.11166,7.28024
3.11352,35.1045
3.11478,7.40051
3.11805,7.25711
3.12778,7.42614
3.12892,7.26018
3.13058,23.3592
3.13715,7.40078
3.13909,22.9082
3.14306,7.22894
3.14456,7.26351
3.14748,27.1955
3.15134,7.24946
3.15447,7.34872
3.16043,7.2688
3.16475,7.21883
3.166,7.23607
3.1711,22.9387
3.18482,7.23293
3.18574,7.23375
3.18825,7.24704
3.19361,7.30151
3.19393,22.9321
3.19405,7.26256
3.19469,7.25502
3.20435,7.24206
3.21071,7.26249
3.21731,7.32217
3.22688,7.25226
3.23559,7.20406
3.23959,22.8984
3.24608,22.9157
3.24755,7.27595
3.2482,22.9668
3.25548,7.20544
3.25704,7.21335
3.25855,7.20856
3.26425,7.41524
3.2794,22.9115
3.28379,22.9058
3.28487,22.9022
3.29674,7.23445
3.30172,22.9413
3.31072,7.22858
3.31137,7.20168
3.31859,7.29752
3.32781,7.23551
3.33204,7.31008
3.33455,7.2142
3.34545,23.0561
3.34787,7.24047
3.35248,7.30963
3.36713,7.31794
3.37102,22.9241
3.38302,7.20464
3.38927,22.9171
3.39225,7.24685
3.39868,7.20121
3.4005,32.3339
3.40927,22.9175
3.41714,7.38282
3.41937,7.23445
3.42182,7.3151
3.43285,7.21331
3.43663,7.2395
3.43801,22.9436
3.44126,7.29735
3.45581,22.891
3.45588,7.57081
3.46006,39.3433
3.46106,7.26635
3.47279,23.3015
3.47434,7.26648
