Sim latency at ReqAveWait:0.0025 ReqSize:8192B SampleNum:160000 Ave:21870.8703 P50:22.9044 P90:94230.8171 P99:135188.9939 P999:139954.2193 P9999:140592.5129
startTime,latency
1,7.2624
1.00269,22.9305
1.00298,7.3246
1.00562,7.24486
1.00593,7.3778
1.00917,7.20971
1.01135,7.40586
1.01507,7.33183
1.01521,22.9179
1.01607,22.9567
1.02328,7.33659
1.02597,7.28186
1.02604,7.31667
1.02946,22.8811
1.0314,41.6489
1.0337,7.24129
1.03377,12.1798
1.03458,7.2289
1.0401,22.9314
1.04019,7.377
1.04071,7.27803
1.0466,23.151
1.04897,22.9007
1.05584,22.9104
1.05723,26.6948
1.05767,36.0268
1.06011,7.25342
1.06491,7.28038
1.06715,22.9526
1.0684,36.0744
1.07141,42.9454
1.07282,7.46365
1.07381,61.408
1.08456,71.2268
1.08693,7.31045
1.08704,7.2409
1.09088,7.30564
1.09161,22.9634
1.09386,7.23462
1.10242,73.9983
1.1046,22.9259
1.10517,23.0186
1.10588,22.9428
1.10596,22.9509
1.10781,7.27978
1.10901,7.25983
1.10925,87.9114
1.11058,7.24796
1.1113,9.9264
1.11141,22.9153
1.11232,42.6695
1.11295,7.24267
1.1131,7.25205
1.11432,7.28169
1.11563,60.0772
1.11605,80.644
1.12069,28.1316
1.12556,7.27212
1.12603,22.971
1.12765,41.9617
1.12798,89.1238
1.12959,7.38322
1.13269,105.088
1.13299,7.41522
1.13496,23.1496
1.14153,22.9602
1.14663,111.815
1.14876,41.66
1.15218,7.32302
1.15241,126.689
1.15319,7.29068
1.1542,7.30263
1.15523,62.7262
1.15572,7.21841
1.16408,7.25519
1.16561,7.26613
1.16666,7.31559
1.16742,43.7424
1.16906,7.32792
1.16941,12.0114
1.16943,7.23431
1.18711,7.22581
1.1875,51.0103
1.18762,7.2311
1.18947,69.7347
1.19122,108.565
1.20054,119.924
1.20235,12.573
1.21046,7.23561
1.21364,7.33001
1.21388,22.9276
1.21644,7.27228
1.22031,7.24869
1.22311,7.2241
1.22859,112.593
1.22899,7.31933
1.23167,7.2196
1.23495,7.28235
1.23611,125.761
1.23616,7.3371
1.23782,144.705
1.23889,7.42224
1.23999,183.895
1.24228,7.24633
1.24349,23.012
1.24469,42.4876
1.24782,155.4
1.24939,195.196
1.24954,7.25726
1.24963,30.2099
1.25217,22.9292
1.25221,7.26006
1.25481,210.449
1.258,7.24877
1.2586,37.1492
1.25985,226.266
1.26012,7.46606
1.26168,7.26121
1.26304,22.8939
1.26521,7.32311
1.26577,7.21094
1.27434,232.283
1.27464,22.8718
1.27545,25.2104
1.27873,7.25492
1.28182,7.29892
1.28995,22.9217
1.29232,235.008
1.29704,24.3391
1.29859,7.24086
1.29946,248.583
1.29987,7.29873
1.31157,22.9302
1.3143,27.6926
1.31958,43.0115
1.32425,7.28683
1.32441,59.0898
1.33117,7.40385
1.33266,7.29907
1.33581,22.8794
1.33788,41.4959
1.3402,7.22915
1.34281,7.364
1.34476,7.23701
1.34588,7.21626
1.34626,57.8499
1.34821,7.24293
1.34968,7.25219
1.35089,7.32757
1.3518,7.26967
1.35243,47.8216
1.35272,7.73155
1.35807,66.8648
1.35975,85.7264
1.36207,104.364
1.36227,58.5142
1.36395,7.56633
1.36413,7.33186
1.36867,200.012
1.37061,7.23979
1.37123,115.631
1.37126,7.23568
1.37258,135.108
1.37349,215.866
1.37433,22.91
1.37438,7.26517
1.37576,7.29867
1.38463,23.0392
1.38656,7.22889
1.39099,7.8227
1.39285,217.176
1.39596,132.255
1.39626,23.1731
1.3986,7.27358
1.39937,28.9719
1.40201,228.858
1.40305,7.87416
1.40534,246.164
1.40708,265.23
1.41609,7.22655
1.41949,7.36746
1.4242,124.722
1.42493,7.28401
1.42902,7.23252
1.42932,22.9001
1.43168,7.26622
1.43581,133.765
1.43784,7.37925
1.43915,23.0302
1.43989,150.387
1.44288,249.955
1.44584,43.7417
1.44812,7.2396
1.45288,7.38539
1.45346,22.976
1.45853,7.28545
1.46097,9.78623
1.46226,7.20313
1.46322,7.30579
1.46551,22.9075
1.46558,7.24193
1.46872,244.742
1.47041,7.21895
1.47105,7.26842
1.47343,137.547
1.47752,7.26457
1.48442,7.23996
1.48476,25.3639
1.48542,22.8825
1.48609,7.21675
1.48619,12.3627
1.49457,239.694
1.49983,7.23397
1.50162,253.313
1.50736,7.78475
1.5103,121.331
1.51038,7.24551
1.51104,22.9186
1.51476,7.20245
1.51912,7.22658
1.52013,7.30089
1.5223,9.05137
1.52639,22.9005
1.52704,125.314
1.52781,247.881
1.52884,144.154
1.53303,22.8752
1.54043,36.2529
1.54311,54.1674
1.54874,7.23673
1.55429,139.512
1.56059,7.20668
1.56749,228.794
1.56864,23.1438
1.56956,7.2138
1.57028,144.055
1.57379,161.241
1.57698,41.133
1.57925,7.53083
1.5793,7.25936
1.58765,22.9041
1.58921,7.28105
1.59081,12.2388
1.59116,225.787
1.59191,163.772
1.59214,15.8896
1.59357,244.039
1.60007,176.382
1.60099,7.22966
1.60516,191.903
1.60815,7.63655
1.60824,7.2753
1.60916,249.173
1.61051,28.1948
1.61075,7.27577
1.61538,22.8714
1.62016,7.24594
1.62207,37.3088
1.62225,7.33804
1.62485,22.9417
1.63223,7.36149
1.63509,44.9286
1.63597,64.9659
1.63728,7.22279
1.639,82.5629
1.64118,237.81
1.64709,252.529
1.65289,89.4864
1.65895,103.947
1.66128,156.636
1.66613,22.9124
1.67163,248.685
1.67206,269.123
1.67232,7.23623
1.67659,7.217
1.6777,284.029
1.6824,299.956
1.68502,7.24359
1.68661,152.059
1.68664,172.692
1.6872,22.9086
1.69038,93.129
1.69318,7.29619
1.6935,11.907
1.70038,302.688
1.70582,7.33381
1.70609,7.37019
1.70754,7.40171
1.70756,172.33
1.70761,192.998
1.70958,95.1879
1.71283,112.558
1.71622,7.28669
1.71634,205.052
1.71789,7.22856
1.7196,8.88915
1.72032,7.25394
1.7272,7.22128
1.72763,118.164
1.73512,206.898
1.73654,22.9505
1.74384,279.989
1.74519,7.249
1.74677,215.9
1.74687,7.23115
1.74772,7.21066
1.75036,233.01
1.75069,293.774
1.75263,22.9575
1.75301,7.36333
1.75748,7.23843
1.75982,7.4324
1.76002,243.974
1.76292,302.321
1.76454,7.2469
1.77178,7.31354
1.77272,7.28944
1.77303,251.64
1.77415,7.25382
1.77551,22.8952
1.77952,7.24931
1.78294,7.2116
1.7853,260.021
1.78615,7.27612
1.78768,7.23531
1.78861,277.541
1.79099,28.1767
1.79302,292.751
1.7932,7.25592
1.79494,23.0666
1.80061,286.274
1.80239,7.25479
1.80437,62.2724
1.80473,7.3115
1.80657,33.2272
1.80864,7.26292
1.81147,295.991
1.8128,23.1382
1.81698,311.183
1.82127,327.559
1.83155,7.27849
1.83192,337.588
1.83239,54.7163
1.83664,7.30831
1.83894,7.26695
1.84269,7.27826
1.84294,7.44082
1.84333,7.21209
1.84349,7.2332
1.84511,7.39919
1.8492,7.27442
1.84926,7.23806
1.84947,257.162
1.84956,58.2776
1.85353,7.28524
1.85398,7.33262
1.85462,7.40705
1.85744,9.40688
1.85981,22.8934
1.86183,265.607
1.8629,7.25521
1.86442,10.7999
1.86797,280.022
1.87229,7.23513
1.87286,7.24286
1.87778,7.27803
1.87991,22.9129
1.8818,7.44484
1.88254,22.9122
1.88721,281.398
1.88733,303.14
