Sim latency at ReqAveWait:0.005 ReqSize:8192B SampleNum:20000 Ave:22.7278 P50:22.8833 P90:48.9780 P99:110.2625 P999:173.2600 P9999:264.2486
startTime,latency
1,7.2746
1.00274,22.8817
1.01306,12.3564
1.0164,7.23108
1.01837,7.38921
1.03377,7.24574
1.04527,7.2514
1.04643,7.36709
1.04656,22.9121
1.05181,22.9331
1.06446,7.38841
1.06968,7.22599
1.07093,7.22381
1.07247,22.9964
1.07381,42.3056
1.08194,7.23551
1.08462,9.79158
1.08918,7.25631
1.09052,23.0014
1.10614,7.42992
1.10758,7.20324
1.11395,23.1239
1.11598,22.9
1.12402,22.9499
1.12714,22.9288
1.14213,22.9876
1.1452,7.2785
1.14825,7.33388
1.14856,22.882
1.15284,22.9274
1.15915,26.5907
1.16877,7.23978
1.16905,37.3819
1.17222,54.8307
1.17804,7.27688
1.18191,7.24694
1.18781,7.49077
1.20552,22.8767
1.21065,7.25033
1.21643,31.3259
1.21967,22.9387
1.22099,23.0171
1.22533,22.9326
1.22613,22.9437
1.23055,7.22781
1.23229,7.23596
1.24412,24.3131
1.24421,7.40446
1.24684,7.46313
1.25137,23.0204
1.25361,41.4192
1.2584,7.35351
1.26035,7.20474
1.26583,7.33054
1.27612,39.519
1.29143,44.9221
1.31029,22.9062
1.31329,7.21602
1.31467,22.9635
1.3193,39.0625
1.33654,22.9947
1.33689,7.26991
1.33982,40.2975
1.34124,7.20289
1.3417,22.9123
1.3432,22.8915
1.34855,52.2796
1.35268,26.2864
1.36088,7.40276
1.38432,37.2226
1.39575,7.30595
1.43981,7.23881
1.44125,22.9303
1.44551,7.32101
1.44595,7.26873
1.44676,11.1496
1.45148,7.23654
1.45504,22.8832
1.45764,7.33698
1.46631,7.35345
1.47288,7.33972
1.47288,7.29694
1.47482,22.9466
1.47538,7.27364
1.4801,38.3399
1.48311,22.9146
1.48357,43.164
1.48566,7.27088
1.48575,7.25163
1.50193,7.38641
1.50282,22.8903
1.50284,7.20338
1.50509,7.39236
1.50568,7.38194
1.50702,40.3544
1.51923,7.23807
1.53121,7.30047
1.53969,7.23163
1.54066,27.4054
1.54771,7.23107
1.54933,39.4788
1.55287,7.29459
1.55726,52.1804
1.56529,7.21303
1.56741,22.9821
1.5703,40.8007
1.57298,57.1791
1.57447,76.4239
1.57535,7.32449
1.58255,22.903
1.58726,22.9344
1.5928,7.44932
1.5999,71.7
1.60991,7.40478
1.6119,22.9431
1.6135,78.7153
1.61414,7.39651
1.62258,7.25862
1.63105,22.9001
1.63176,7.40189
1.64091,7.23494
1.65112,61.727
1.65159,22.9446
1.65244,22.936
1.65389,7.22873
1.65512,7.27415
1.67748,23.0903
1.67749,56.0375
1.67968,22.9813
1.69214,7.24919
1.69395,60.2585
1.69434,7.24555
1.70052,22.8749
1.70087,22.9255
1.70305,41.4175
1.71174,7.59668
1.71406,51.1423
1.71793,7.32622
1.72128,7.45713
1.73379,22.9736
1.74341,34.16
1.75066,7.2727
1.75132,7.24101
1.75378,7.36952
1.76444,7.21232
1.7645,22.8838
1.7657,7.25337
1.76961,7.2897
1.7761,7.24076
1.79277,7.20273
1.79534,22.9063
1.80681,7.21195
1.80695,22.9128
1.8104,40.1801
1.81322,58.2115
1.82504,22.9465
1.82838,7.20139
1.83821,7.20682
1.83916,22.9073
1.8419,12.2507
1.84417,47.7518
1.84625,7.23202
1.85544,57.1864
1.86066,22.9377
1.86089,22.9065
1.86286,7.27392
1.86287,7.23084
1.8631,22.9794
1.86426,7.49781
1.86459,11.9083
1.87613,28.2775
1.87708,56.345
1.87946,22.9976
1.87974,7.22885
1.90012,22.8872
1.90097,24.0057
1.90326,7.23056
1.90941,36.1971
1.9124,53.8835
1.92101,7.21532
1.92305,7.25313
1.93172,23.0585
1.96212,7.23023
1.96637,7.34163
1.96836,22.978
1.97839,7.22615
1.99846,22.9165
2.00661,7.4415
2.0071,23.1459
2.01143,30.8033
2.01528,22.9776
2.01846,22.9704
2.03675,7.22459
2.03689,7.27114
2.03792,22.9847
2.04047,9.01214
2.0415,12.6176
2.04157,7.31894
2.04206,7.29825
2.04355,22.9538
2.04562,7.48041
2.04944,22.9988
2.05405,7.24249
2.05729,7.23759
2.05994,23.1245
2.0665,7.40395
2.06821,7.35316
2.06984,22.89
2.0714,22.9204
2.07489,7.27411
2.08592,7.28497
2.09635,22.9101
2.10337,7.25084
2.11747,22.9105
2.12006,7.24278
2.12333,22.9349
2.13134,7.30593
2.13264,22.9533
2.13783,7.24609
2.13935,7.29596
2.1394,7.25471
2.15101,7.23278
2.15323,23.0814
2.15367,22.8973
2.15775,22.9741
2.16071,57.2001
2.16416,22.8747
2.16938,38.4629
2.16989,58.5436
2.17014,7.20793
2.17628,62.3037
2.18005,7.27753
2.18006,23.1026
2.18028,22.9175
2.18049,11.794
2.18207,77.2058
2.18246,97.5217
2.18612,63.232
2.18877,7.25576
2.20479,7.22566
2.20752,22.9714
2.21708,7.32886
2.22555,7.29104
2.22586,23.1239
2.23413,66.5119
2.25096,7.3082
2.26452,23.0452
2.26571,55.5953
2.26936,7.29946
2.27368,68.3663
2.27369,7.445
2.27796,7.23239
2.29243,22.9471
2.30551,22.9794
2.32098,7.24735
2.32101,22.9181
2.3253,7.21446
2.32931,22.9784
2.33843,7.29643
2.33874,23.006
2.34565,7.38749
2.34739,25.6147
2.34975,43.8947
2.35139,7.30303
2.35221,62.1625
2.3612,22.8733
2.36367,41.085
2.37583,59.123
2.3775,78.279
2.3785,22.8878
2.38443,23.0446
2.38658,38.9377
2.38724,58.9298
2.39038,7.31163
2.40534,7.35928
2.40596,60.8438
2.41375,73.7189
2.41572,7.42283
2.42316,22.9408
2.43016,36.5535
2.43403,23.0668
2.43511,41.3359
2.4407,7.24955
2.44088,12.2497
2.44437,63.7752
2.44844,7.24615
2.4631,7.52986
2.46765,7.20942
2.47265,22.9334
2.4735,42.8904
2.47865,22.9004
2.49088,31.3917
2.49266,7.2353
2.49789,39.1992
2.49835,7.25899
2.50184,7.30001
2.50302,7.22
2.50573,8.80566
2.51248,30.4897
2.51865,39.0306
2.52794,22.9223
2.53256,22.9119
2.53282,7.21164
2.5362,42.203
2.54206,7.21328
2.5456,7.23937
2.56005,39.0966
2.56576,22.9089
2.57646,23.032
2.57906,7.40096
2.58608,7.24384
2.58636,7.2816
2.58976,30.0531
2.59676,22.886
2.59688,12.2957
2.59739,7.40975
2.60277,7.2186
2.60372,36.6802
2.61055,7.32362
2.61283,22.8845
2.61538,7.41898
2.61785,7.2411
2.61908,42.0563
2.62213,7.23244
2.63725,7.22356
2.64743,34.4169
2.65105,22.8874
2.65473,22.9202
2.66021,7.32038
2.6738,23.156
2.67598,26.6297
2.67691,7.41433
2.67704,22.9043
2.68436,7.20839
2.68729,22.9644
2.70096,7.28238
2.70191,23.1116
2.70684,22.886
2.70796,37.5589
2.71016,56.1594
2.71446,7.25313
2.71592,71.5271
2.71601,22.9069
2.71815,7.33532
2.72502,7.40563
2.73734,7.24159
2.74448,7.20303
2.74671,7.32403
2.75247,7.42656
2.76161,7.22045
2.77076,7.27177
2.77272,7.2687
2.78221,22.9388
2.78865,22.9917
2.78933,7.26498
2.79083,7.6366
2.79319,7.33503
2.7985,7.4968
2.80302,22.9447
2.80364,22.9063
2.81658,7.49578
2.81755,11.3509
2.81914,28.0661
2.82161,7.21556
2.83863,7.22785
2.84071,7.31846
2.85592,22.9933
2.85828,7.2727
2.8643,22.9005
2.86633,22.9406
2.86653,22.9165
2.87018,29.3615
2.8737,7.39532
2.88669,7.30311
2.89272,7.26061
2.89415,22.9795
2.89601,23.0164
2.89884,38.9739
2.90128,57.3313
2.91066,28.946
2.92136,38.9323
2.92432,54.8681
2.9248,75.3515
2.92913,22.9428
2.93325,7.2203
2.94088,7.22077
2.94301,22.9162
2.95286,23.0377
2.95667,7.25552
2.95891,7.24244
2.96039,60.3967
2.96647,74.8932
2.96878,22.9596
2.96913,7.3599
2.9718,90.1529
2.97928,103.69
2.98265,22.924
2.98394,28.4724
2.99355,7.30248
2.99393,109.487
3.00308,23.0126
3.00654,7.41215
3.00777,7.24783
3.01089,22.9376
3.01541,39.084
3.02586,7.28271
3.0286,46.6847
3.0288,7.23764
3.02885,23.0099
3.03443,7.27885
3.03785,23.3229
3.0442,22.9093
3.0465,77.7164
3.04968,7.26991
3.051,93.8564
3.05187,113.632
3.05452,41.379
3.05459,131.566
3.05907,7.30124
3.08899,22.8862
3.09385,7.30255
3.10004,7.34093
3.10255,22.9424
3.10503,101.959
3.10712,22.9053
3.11034,117.183
3.11166,7.28024
3.11352,22.8876
3.11478,7.40051
3.11805,7.25711
3.12778,7.42614
3.12892,7.26018
3.13058,117.643
3.13715,23.1049
3.13909,22.9082
3.14306,7.22894
3.14456,7.26351
3.14748,121.479
3.15134,12.2495
3.15447,7.34872
3.16043,129.181
3.16475,7.21883
3.166,7.23607
3.1711,22.9387
3.18482,125.437
3.18574,145.19
3.18825,7.24704
3.19361,7.30151
3.19393,22.9321
3.19405,7.26256
3.19469,7.25502
3.20435,7.24206
3.21071,7.26249
3.21731,7.32217
3.22688,124.741
3.23559,7.20406
3.23959,22.8984
3.24608,126.21
3.24755,35.6734
3.2482,144.816
3.25548,7.20544
3.25704,156.586
3.25855,22.8793
3.26425,7.41524
3.2794,22.9115
3.28379,150.521
3.28487,22.9022
3.29674,31.7114
3.30172,22.9413
3.31072,7.22858
3.31137,7.20168
3.31859,7.29752
3.32781,7.23551
3.33204,7.31008
3.33455,7.2142
3.34545,23.0561
3.34787,7.24047
3.35248,7.30963
3.36713,23.007
3.37102,22.9241
3.38302,7.20464
3.38927,22.9171
3.39225,62.7548
3.39868,22.8712
3.4005,32.3339
3.40927,66.4084
3.41714,36.5577
3.41937,54.8669
3.42182,7.3151
3.43285,7.21331
3.43663,22.9143
3.43801,22.9436
3.44126,7.29735
3.45581,40.5188
3.45588,7.57081
3.46006,56.9712
3.46106,7.26635
3.47279,23.3015
3.47434,22.9462
3.47596,7.27356
3.47951,23.2087
