Sim latency at ReqAveWait:0.005 ReqSize:8192B SampleNum:20000 Ave:22.9985 P50:22.8822 P90:49.9518 P99:114.3524 P999:177.4488 P9999:256.3175
startTime,latency
1,7.27091
1.01507,22.9853
1.01728,7.20778
1.02043,7.21977
1.03093,7.20471
1.03149,7.2307
1.04754,7.35689
1.05287,7.26501
1.05398,23.0859
1.06148,22.9199
1.06265,7.32825
1.07446,7.35766
1.08175,7.20661
1.0821,22.9972
1.08979,35.9694
1.1042,7.22168
1.10789,8.51616
1.10818,7.27536
1.11117,22.8764
1.12162,7.29329
1.12965,7.34622
1.13549,22.9375
1.1423,23.0451
1.14383,22.9418
1.14447,22.9803
1.14486,22.9021
1.1486,7.25079
1.15415,7.37089
1.15949,22.8748
1.16114,27.0285
1.1621,26.3318
1.16743,7.22503
1.16868,40.4066
1.17773,52.2521
1.19259,7.27089
1.19538,7.2025
1.20198,7.23195
1.20276,22.9154
1.21088,7.34086
1.21103,39.4711
1.21253,22.978
1.21897,22.9071
1.22324,22.972
1.22702,23.5411
1.23388,7.25059
1.24555,7.24523
1.24676,24.3836
1.25045,7.26273
1.25259,7.24129
1.25575,22.9776
1.25897,40.3771
1.25913,7.29446
1.26498,7.24653
1.26581,7.23325
1.27517,44.9551
1.27625,64.5331
1.27817,23.125
1.28589,7.20759
1.29396,22.9215
1.30341,34.1132
1.31778,43.6869
1.32767,7.24363
1.33591,46.1946
1.34616,7.59104
1.35239,22.8741
1.35547,22.9592
1.3559,46.9272
1.35784,22.8934
1.36206,7.30033
1.36629,57.1365
1.37519,7.28996
1.38527,7.23461
1.3919,22.9399
1.39344,7.23173
1.39599,7.36531
1.41234,7.41707
1.41291,7.29139
1.41434,23.1615
1.42047,7.26605
1.43063,7.21069
1.43184,7.26871
1.43452,8.37706
1.43594,22.9504
1.4408,7.22651
1.44133,38.3306
1.44185,23.0792
1.44185,43.6687
1.44632,7.21855
1.44876,7.23003
1.45028,7.21049
1.45657,23.1193
1.467,7.28313
1.4731,7.20367
1.4761,7.23772
1.47787,28.2465
1.48217,7.42291
1.48592,7.21263
1.48776,7.24783
1.48937,37.4458
1.50383,7.31054
1.50688,40.9535
1.51657,7.24681
1.52348,44.7517
1.52955,7.21909
1.53372,23.0126
1.53466,42.676
1.53667,52.5105
1.54057,69.1772
1.54129,7.41994
1.54717,22.9889
1.55193,22.8907
1.55987,7.27545
1.56034,70.1073
1.56349,7.28922
1.57285,22.9323
1.5753,75.7497
1.57603,7.39878
1.57776,7.22103
1.58284,23.0191
1.58355,12.2036
1.58588,7.36156
1.58855,83.2105
1.59273,23.1332
1.59564,22.8982
1.59739,7.20153
1.59826,7.35664
1.60153,25.0373
1.6113,81.1468
1.61507,24.139
1.61754,7.25436
1.62254,90.6839
1.62302,7.30509
1.6246,23.1509
1.62504,34.9456
1.62884,51.9348
1.63651,7.35883
1.64818,53.2388
1.6492,7.25351
1.64959,7.2635
1.65057,22.956
1.65237,41.7587
1.65826,7.50286
1.65876,7.29809
1.66238,7.33954
1.66586,7.28539
1.66929,52.7135
1.67617,7.41409
1.67949,7.36668
1.69224,7.26598
1.69781,7.20531
1.70073,22.9167
1.70937,7.21326
1.71418,28.9349
1.72786,35.5942
1.73247,51.7463
1.74929,22.9578
1.74977,7.36717
1.75112,7.30776
1.7623,23.0815
1.76349,7.27548
1.76384,40.983
1.76401,7.25221
1.76603,59.4597
1.76634,39.694
1.77408,22.9233
1.78214,7.20324
1.80234,7.28102
1.80721,23.2827
1.80738,7.2774
1.81017,9.579
1.81237,23.0446
1.8143,31.9931
1.81536,22.9484
1.81613,7.22199
1.83351,22.8959
1.83818,22.8902
1.84004,7.35866
1.84083,41.0733
1.84298,59.5158
1.84915,7.24356
1.8499,7.34484
1.86006,22.8866
1.86156,7.24949
1.86713,7.32217
1.88578,23.0472
1.89412,7.23614
1.90508,23.0045
1.90847,7.3312
1.90876,22.8735
1.91057,38.2483
1.91697,23.0068
1.9176,22.945
1.92936,7.21953
1.93748,7.24443
1.93762,22.8998
1.93809,11.8743
1.93823,16.4699
1.94316,7.30059
1.94819,7.22377
1.9495,22.9237
1.95872,7.23358
1.96254,22.9776
1.97421,7.35932
1.97747,12.2227
2.00243,22.9546
2.01727,7.2895
2.02271,7.38226
2.03062,22.8782
2.03249,22.973
2.03342,7.25913
2.03398,7.25993
2.04566,22.9966
2.06004,7.25933
2.06043,28.8574
2.06537,7.27996
2.07634,22.9004
2.08431,7.24172
2.08555,22.9359
2.0882,7.33502
2.09338,7.28813
2.09843,7.42145
2.10091,7.33231
2.10446,23.023
2.10561,22.924
2.12755,22.9952
2.12839,23.024
2.13013,23.014
2.14053,33.2474
2.14061,53.8947
2.14759,7.23019
2.1483,23.7594
2.14953,7.27184
2.15875,22.9685
2.15881,22.9014
2.16523,7.22937
2.16986,23.0409
2.18276,30.7677
2.18639,29.0374
2.19043,7.23963
2.19247,7.3603
2.20031,22.9189
2.20496,7.52268
2.21486,7.24978
2.22136,22.9947
2.22332,23.1388
2.24193,7.26691
2.24561,23.0652
2.24987,22.8892
2.25346,7.23753
2.26345,30.2373
2.27049,7.23049
2.28974,7.3707
2.29641,22.9935
2.29656,22.9108
2.29825,7.38572
2.29914,22.9446
2.29945,7.37487
2.30226,37.894
2.30545,7.24354
2.30646,22.9943
2.31958,7.35883
2.32505,36.1154
2.32699,54.5512
2.32719,7.21691
2.33071,71.5895
2.33432,22.8923
2.33993,38.0539
2.34305,79.8434
2.34577,97.8217
2.3553,22.9516
2.3573,22.941
2.36412,34.5716
2.36684,52.4292
2.37861,7.20902
2.37871,7.20949
2.38327,56.697
2.38558,75.0503
2.38821,7.39389
2.39836,22.9625
2.40212,39.8574
2.40694,22.9306
2.40864,55.643
2.41755,7.45985
2.41811,11.6748
2.41994,61.4524
2.42534,7.23291
2.42845,7.24304
2.44246,7.35691
2.45516,22.904
2.45661,42.3893
2.45674,28.2614
2.45695,48.736
2.46175,7.20783
2.47426,45.1842
2.47449,7.32211
2.50101,7.31849
2.50106,7.34507
2.50803,7.31761
2.50847,23.0087
2.51833,22.9402
2.51975,22.9176
2.52731,22.97
2.53054,7.24599
2.53272,29.1936
2.53638,7.30387
2.54016,7.44191
2.54395,38.7884
2.54469,26.2898
2.55127,22.9078
2.55608,7.23862
2.561,7.39906
2.56728,7.27026
2.5712,32.2986
2.57227,22.8731
2.58207,7.3199
2.5849,7.22942
2.58784,7.38304
2.58935,34.6688
2.58988,7.24772
2.58989,23.0778
2.59298,9.24257
2.60257,7.23572
2.62562,23.0094
2.62897,7.2491
2.63943,7.41199
2.64047,28.7416
2.64937,22.9145
2.65768,22.9738
2.66127,7.21988
2.66179,22.9345
2.66533,24.5415
2.66848,7.26042
2.66991,22.9307
2.67764,7.21897
2.68581,23.2375
2.69855,7.24483
2.70439,22.9528
2.70511,22.8739
2.71083,37.2156
2.71282,55.8888
2.71718,7.2633
2.7199,69.517
2.72013,22.9466
2.72726,7.3459
2.73222,7.26803
2.73259,7.22943
2.73611,7.22917
2.7471,7.20778
2.75631,7.24551
2.76042,7.323
2.7696,7.30856
2.77356,7.23122
2.77532,23.0484
2.77645,22.9529
2.78361,7.36682
2.78832,7.21059
2.79178,7.33113
2.79325,10.7951
2.79897,22.9317
2.80387,23.0577
2.83799,7.24276
2.838,12.249
2.84638,22.8996
2.84836,7.28701
2.84888,7.21633
2.86089,7.2309
2.87757,22.9271
2.88655,7.21213
2.89028,22.9292
2.89217,23.1087
2.89494,22.9359
2.90036,23.0413
2.91947,7.27594
2.92235,7.24964
2.93346,7.29563
2.94242,22.9516
2.94691,23.1957
2.9496,36.4034
2.94967,57.0679
2.95144,39.4272
2.95314,58.222
2.95423,73.1307
2.95537,92.8383
2.9632,22.8865
2.96815,7.32318
2.9707,7.2113
2.97364,22.9303
2.97762,29.1738
2.97853,7.26631
2.97974,7.21778
2.98042,171.142
2.98653,82.2695
2.98657,23.0101
2.99143,7.21464
2.993,96.5977
2.99313,117.05
2.9935,33.9367
2.99363,36.7642
3.00791,7.20362
3.02055,110.331
3.02493,23.0177
3.03243,7.45772
3.03753,7.29847
3.03861,23.0293
3.04325,38.945
3.04931,7.26155
3.06183,41.0962
3.06278,7.22274
3.08063,22.9238
3.0887,7.24731
3.08998,22.9789
3.09615,22.911
3.09741,74.9632
3.10309,7.31442
3.10596,86.9696
3.1107,102.932
3.11081,22.8733
3.12172,112.52
3.12267,7.25762
3.12939,22.9209
3.13012,7.26428
3.13119,7.22365
3.13132,22.9422
3.13591,119.083
3.1444,23.0736
3.15082,124.822
3.15251,7.2266
3.16448,22.9813
3.17468,7.37567
3.18246,7.45436
3.18687,7.9121
3.18912,7.20423
3.1932,103.094
3.20739,22.9264
3.2078,22.9018
3.20913,7.26236
3.23134,7.28189
3.23363,83.3336
3.24023,7.23584
3.24208,7.32516
3.25107,86.6512
3.27548,7.36924
3.27843,7.25235
3.28307,22.9082
3.28503,73.2701
3.29268,86.3234
3.31567,7.2401
3.31673,7.23019
3.31884,22.961
3.32013,7.23011
3.32074,7.29376
3.32504,7.2435
3.32521,7.33067
3.32695,10.4928
3.33593,63.7455
3.33668,7.21006
3.33749,24.9273
3.34032,80.2175
3.34359,39.5366
3.34647,94.6183
3.34811,7.24274
3.35924,102.581
3.3666,22.9241
3.36816,7.20888
3.3693,40.8833
3.37219,110.394
3.37353,30.3688
3.37489,49.5892
3.37931,22.93
3.38654,7.33317
3.38878,7.35305
3.39742,7.3847
3.39804,7.35809
3.40798,12.3733
3.41355,7.52251
3.41413,22.9158
3.41697,8.37211
3.42295,7.35167
3.42382,22.8751
3.43049,22.9294
3.4315,7.20999
3.43344,23.0635
3.44006,63.2496
3.44063,22.8737
3.44258,34.4707
3.44377,80.2609
3.44616,51.6338
3.45038,68.1039
3.4598,7.26024
3.45986,7.32253
3.46774,22.9543
3.47039,22.895
3.47258,7.20783
3.47474,69.7877
3.48386,7.22004
3.4872,78.0357
3.49135,7.29114
3.4997,22.9759
3.51085,22.9774
3.51391,7.29251
3.51424,22.9058
3.51868,35.7819
3.52219,53.0155
3.52874,67.0711
3.54347,22.9215
3.54865,7.26496
3.54957,36.4953
3.54989,7.22753
3.55333,7.3624
3.55596,60.6484
3.56815,7.29206
3.57023,7.25775
3.57073,7.20226
3.584,7.24493
3.59086,22.9836
3.6069,7.21864
3.61332,23.8879
3.61877,7.25134
3.62354,7.26609
3.63209,25.7741
3.6353,22.9208
3.63728,22.9299
3.63876,40.1209
3.64323,7.23386
3.65002,23.0222
3.66341,7.35537
3.6645,12.2517
3.66689,7.27581
3.67329,7.25118
3.68292,22.9859
3.68486,7.24949
3.68991,22.8772
3.69492,38.5393
3.7018,7.24181
3.70182,22.9294
3.71408,31.3863
3.71431,39.9141
3.71703,58.0183
3.73035,7.2946
3.73173,7.25562
3.73756,28.5716
3.73809,57.4422
3.73887,7.3031
3.73957,7.23698
3.7406,7.40944
3.74814,38.6018
3.75341,62.7957
3.75609,80.8527
3.75729,7.26695
3.766,7.24621
3.77138,7.2666
3.77309,7.21888
3.78153,26.2105
3.786,42.1446
3.79571,7.23334
3.79839,23.0339
3.80776,7.20959
3.80921,22.9394
3.81503,33.8212
3.81522,54.4526
3.81612,7.3922
3.82042,23.0059
3.82602,31.6722
3.82697,7.22271
3.83723,7.30291
3.84131,36.9959
3.84368,46.857
3.84686,7.26335
3.84689,7.44825
3.86183,7.23359
3.87233,7.2109
3.87984,22.9616
3.88179,29.237
3.88213,7.23035
