Sim latency at ReqAveWait:0.00166667 ReqSize:8192B SampleNum:160000 Ave:43396.9034 P50:22.9188 P90:185760.4103 P99:263774.1850 P999:272049.4538 P9999:273464.7178
startTime,latency
1,7.22845
1.00047,22.9199
1.00226,7.23218
1.00306,7.41031
1.00447,7.36263
1.00635,7.21443
1.00769,7.66693
1.01589,7.34295
1.01694,22.9006
1.01862,22.8807
1.01986,7.23655
1.02347,7.28922
1.02461,7.29065
1.02805,23.1294
1.02945,42.2552
1.02959,7.24785
1.02974,12.1617
1.02996,7.40947
1.03191,28.6698
1.03201,7.26344
1.03206,7.24907
1.03273,22.9176
1.03417,23.1642
1.03448,23.0824
1.03582,45.3999
1.03888,53.4403
1.0412,7.27707
1.04865,7.23297
1.04929,23.0991
1.05039,51.5288
1.05177,61.2735
1.05761,12.2266
1.05792,75.7687
1.05905,95.3521
1.06013,7.20954
1.06218,7.32804
1.06565,7.21848
1.06622,26.7016
1.06632,7.2397
1.07085,104.199
1.07096,22.9561
1.07111,23.041
1.07153,22.9126
1.0729,23.1226
1.07405,7.27378
1.07865,7.39507
1.08139,114.349
1.08374,7.33356
1.08381,7.3937
1.08557,36.9858
1.087,56.3185
1.08866,7.32929
1.08887,7.24745
1.08979,7.27529
1.09129,72.7463
1.09183,93.0961
1.09235,22.9844
1.09271,7.24184
1.09288,22.9199
1.0935,43.0328
1.09443,110.947
1.09532,7.29476
1.09615,129.873
1.09662,7.2602
1.097,23.0129
1.09723,23.119
1.10014,146.737
1.10434,52.9122
1.10521,7.23559
1.10562,161.879
1.10658,7.23998
1.10755,7.2312
1.11356,102.859
1.1151,7.35649
1.11594,7.26615
1.11775,9.60515
1.11845,7.3603
1.11882,59.0388
1.11886,7.21218
1.11912,11.9976
1.11917,7.30093
1.1198,16.3429
1.11992,117.146
1.12599,7.32015
1.12615,131.856
1.12943,158.68
1.12956,179.182
1.12985,11.2352
1.13158,7.249
1.1335,7.31519
1.13376,23.1402
1.13488,7.2352
1.13533,7.31741
1.13897,7.3331
1.13913,190.388
1.13948,11.7496
1.14357,7.23323
1.14492,7.28922
1.15062,199.628
1.15121,7.23057
1.15184,219.258
1.15328,7.23416
1.1533,238.253
1.15331,12.3022
1.15414,23.3388
1.15624,41.8289
1.15772,254.62
1.1592,273.773
1.16192,7.2218
1.16264,115.85
1.16302,23.1018
1.16349,7.33598
1.16356,310.745
1.16502,7.29128
1.16892,37.7195
1.17049,324.53
1.17243,7.30368
1.17343,7.21915
1.17436,24.2925
1.1755,7.2229
1.17775,7.37238
1.1781,275.496
1.18218,22.9981
1.1844,114.888
1.18676,7.37487
1.18689,7.30285
1.18845,30.7471
1.19218,323.433
1.1978,122.059
1.199,7.20656
1.19975,336.583
1.20142,7.21799
1.20451,35.6806
1.20898,131.619
1.21048,150.772
1.21117,7.27003
1.21648,165.449
1.21758,7.31823
1.22114,7.31437
1.22162,23.0082
1.22307,42.151
1.22612,7.20919
1.22648,7.28621
1.2265,7.24858
1.22749,7.22175
1.22977,173.234
1.23046,7.27735
1.23107,7.2127
1.23257,7.26064
1.23463,7.27766
1.23547,50.5311
1.23645,7.22667
1.24011,183.475
1.24181,202.279
1.24218,222.709
1.24269,63.8751
1.24279,7.4953
1.24615,7.35506
1.24883,308.148
1.24956,7.20549
1.25001,235.534
1.25259,7.40287
1.25269,253.602
1.2537,323.961
1.25399,22.9762
1.25454,7.21265
1.25588,7.51584
1.25682,22.9621
1.25758,7.2405
1.2581,11.8392
1.26254,335.801
1.26405,262.77
1.26524,22.8817
1.26629,7.38385
1.26676,33.6994
1.26712,351.951
1.26747,11.1248
1.2675,372.264
1.26861,391.755
1.27213,7.42853
1.27342,7.22313
1.28032,267.286
1.28181,7.3231
1.2849,7.2619
1.28515,22.8819
1.28704,7.20259
1.28717,281.036
1.29101,7.29209
1.29465,32.656
1.29711,291.814
1.29937,381.783
1.30101,23.0044
1.30126,7.2039
1.30315,7.26167
