packet_id,server_id,client_send_time(s),server_Rev_Time(s),server_Send_Time(s),client_rev_time(s),latency(ms),queue_len
3624568,5,1,1.0011,1.0061,1.0072,7.2028,1
3624573,15,1.00181,1.00291,1.0236,1.02482,23.0163,1
3624583,2,1.01149,1.01259,1.0176,1.01882,7.33313,1
3624588,1,1.01523,1.01633,1.02133,1.0225,7.27286,1
3624591,7,1.01525,1.01635,1.02135,1.02248,7.22773,1
3624598,4,1.01722,1.01832,1.02332,1.02444,7.22602,1
3624712,1,1.02399,1.02509,1.03009,1.03122,7.22948,1
3624717,2,1.03001,1.03111,1.03611,1.03723,7.22882,1
3624729,13,1.03056,1.03166,1.05233,1.05348,22.9199,1
3624745,12,1.03929,1.04039,1.06107,1.06222,22.9244,1
3624750,7,1.04892,1.05002,1.05502,1.05623,7.31783,1
3624755,3,1.05035,1.05145,1.05645,1.05767,7.32217,1
3624773,5,1.05354,1.05464,1.05965,1.06078,7.23632,1
3624870,15,1.07261,1.07371,1.09439,1.09552,22.9103,1
3624875,15,1.07576,1.07686,1.11506,1.1162,40.4428,1
3624878,1,1.07617,1.07727,1.08227,1.0835,7.33399,1
3624922,1,1.08358,1.08468,1.08969,1.09083,7.24576,1
3624927,2,1.08738,1.08848,1.09348,1.09461,7.23391,1
3624945,13,1.09159,1.09269,1.11336,1.11448,22.8899,1
3624948,0,1.0925,1.0936,1.0986,1.09975,7.24824,1
3624986,3,1.09964,1.10074,1.10574,1.10687,7.23068,1
3624991,9,1.10157,1.10267,1.12338,1.12468,23.1067,1
3624996,14,1.10359,1.10469,1.12536,1.12648,22.8885,1
3625024,10,1.12301,1.12411,1.1448,1.14603,23.0191,1
3625027,13,1.12336,1.12446,1.14518,1.14651,23.1505,1
3625100,15,1.12584,1.12694,1.14762,1.14877,22.9326,1
3625103,3,1.12599,1.12709,1.1321,1.13333,7.33648,1
3625151,4,1.13333,1.13443,1.13944,1.14059,7.25295,1
3625154,12,1.13397,1.13507,1.15574,1.15684,22.8715,1
3625161,13,1.13618,1.13728,1.16586,1.16698,30.8023,1
