Sim latency at ReqAveWait:0.005 ReqSize:8192B SampleNum:160000 Ave:13.5685 P50: 7.3315 P90:23.0879 P99:50.1583 P999:84.1177 P9999:120.2778
startTime,latency
1,7.2746
1.00274,22.8817
1.01306,7.35637
1.0164,7.23108
1.01837,7.38921
1.03377,7.24574
1.04527,7.2514
1.04643,7.39029
1.04656,7.25781
1.05181,22.9331
1.06446,7.38841
1.06968,7.22599
1.07093,10.9773
1.07247,43.6664
1.07381,62.9756
1.08194,7.23551
1.08462,7.4669
1.08918,7.25631
1.09052,23.0014
1.10614,7.42992
1.10758,7.20324
1.11395,7.41689
1.11598,22.9
1.12402,7.26969
1.12714,7.25177
1.14213,22.9876
1.1452,7.2785
1.14825,7.33388
1.14856,7.21108
1.15284,22.9274
1.15915,26.5907
1.16877,7.23978
1.16905,37.3819
1.17222,54.8307
1.17804,7.27688
1.18191,7.24694
1.18781,7.49077
1.20552,22.8767
1.21065,7.25033
1.21643,7.23435
1.21967,9.0213
1.22099,7.32651
1.22533,22.9326
1.22613,7.26437
1.23055,7.22781
1.23229,7.23596
1.24412,22.9095
1.24421,7.40446
1.24684,7.46313
1.25137,7.32929
1.25361,7.2726
1.2584,7.35351
1.26035,7.20474
1.26583,7.33054
1.27612,7.21186
1.29143,7.25249
1.31029,22.9062
1.31329,7.21602
1.31467,7.28121
1.3193,23.0057
1.33654,7.30757
1.33689,7.26991
1.33982,22.8826
1.34124,7.51034
1.3417,7.23783
1.3432,10.7235
1.34855,34.8647
1.35268,7.23622
1.36088,7.40276
1.38432,7.28163
1.39575,7.30595
1.43981,7.23881
1.44125,22.9303
1.44551,7.32101
1.44595,7.26873
1.44676,11.1496
1.45148,7.23654
1.45504,29.78
1.45764,7.33698
1.46631,7.35345
1.47288,7.33972
1.47288,7.29694
1.47482,7.26688
1.47538,7.27364
1.4801,22.937
1.48311,7.23982
1.48357,7.27129
1.48566,7.27088
1.48575,7.25163
1.50193,7.38641
1.50282,7.21862
1.50284,7.20338
1.50509,7.39236
1.50568,7.38194
1.50702,10.3065
1.51923,7.23807
1.53121,7.30047
1.53969,7.23163
1.54066,22.9272
1.54771,7.23107
1.54933,12.3009
1.55287,7.29459
1.55726,7.24985
1.56529,7.21303
1.56741,22.9821
1.5703,40.8007
1.57298,22.9741
1.57447,7.32667
1.57535,7.32449
1.58255,22.903
1.58726,7.25655
1.5928,7.44932
1.5999,7.3376
1.60991,7.40478
1.6119,7.26394
1.6135,22.9403
1.61414,7.39651
1.62258,7.25862
1.63105,7.22756
1.63176,7.40189
1.64091,7.23494
1.65112,7.22547
1.65159,11.7976
1.65244,15.9495
1.65389,7.22873
1.65512,7.27415
1.67748,7.38848
1.67749,12.2264
1.67968,22.9813
1.69214,7.24919
1.69395,22.9073
1.69434,7.24555
1.70052,7.20456
1.70087,22.9255
1.70305,41.4175
1.71174,7.59668
1.71406,7.28964
1.71793,7.32622
1.72128,7.45713
1.73379,7.28974
1.74341,23.0914
1.75066,7.2727
1.75132,7.24101
1.75378,7.36952
1.76444,7.21232
1.7645,22.8838
1.7657,7.25337
1.76961,7.2897
1.7761,7.24076
1.79277,7.20273
1.79534,7.23278
1.80681,7.21195
1.80695,22.9128
1.8104,7.27865
1.81322,23.1283
1.82504,7.26675
1.82838,7.20139
1.83821,7.20682
1.83916,22.9073
1.8419,7.25072
1.84417,22.9016
1.84625,7.23202
1.85544,32.3361
1.86066,22.9377
1.86089,22.9065
1.86286,7.27392
1.86287,7.23084
1.8631,22.9794
1.86426,11.1084
1.86459,15.5189
1.87613,7.3634
1.87708,7.34869
1.87946,22.9976
1.87974,7.22885
1.90012,22.8872
1.90097,7.2512
1.90326,7.23056
1.90941,22.8757
1.9124,7.21284
1.92101,7.21532
1.92305,7.25313
1.93172,7.36151
1.96212,7.23023
1.96637,7.34163
1.96836,7.29343
1.97839,7.22615
1.99846,7.24138
2.00661,7.4415
2.0071,23.1459
2.01143,7.3871
2.01528,22.9776
2.01846,7.28701
2.03675,7.22459
2.03689,7.27114
2.03792,22.9847
2.04047,9.01214
2.0415,12.6176
2.04157,7.31894
2.04206,7.29825
2.04355,7.273
2.04562,7.48041
2.04944,8.50402
2.05405,7.24249
2.05729,7.23759
2.05994,7.41734
2.0665,7.40395
2.06821,7.35316
2.06984,22.89
2.0714,7.24467
2.07489,7.27411
2.08592,7.28497
2.09635,22.9101
2.10337,7.25084
2.11747,22.9105
2.12006,7.24278
2.12333,22.9349
2.13134,7.30593
2.13264,22.9533
2.13783,7.24609
2.13935,7.29596
2.1394,7.25471
2.15101,7.23278
2.15323,7.38087
2.15367,7.22505
2.15775,22.9741
2.16071,43.5728
2.16416,7.20441
2.16938,23.0152
2.16989,43.0959
2.17014,7.20793
2.17628,48.6763
2.18005,7.27753
2.18006,23.1026
2.18028,22.9175
2.18049,7.23744
2.18207,7.24145
2.18246,7.26427
2.18612,47.7844
2.18877,7.25576
2.20479,7.22566
2.20752,9.55768
2.21708,7.32886
2.22555,7.29104
2.22586,23.1239
2.23413,22.9236
2.25096,7.3082
2.26452,23.0452
2.26571,22.9122
2.26936,7.29946
2.27368,35.6833
2.27369,7.445
2.27796,7.23239
2.29243,22.9471
2.30551,7.2946
2.32098,7.24735
2.32101,7.24276
2.3253,7.21446
2.32931,22.9784
2.33843,7.29643
2.33874,23.006
2.34565,7.38749
2.34739,7.31685
2.34975,23.2009
2.35139,7.30303
2.35221,41.4686
2.3612,22.8733
2.36367,22.8849
2.37583,38.4291
2.3775,7.34382
2.3785,56.4322
2.38443,23.0446
2.38658,22.9705
2.38724,22.9435
2.39038,7.31163
2.40534,7.35928
2.40596,7.21612
2.41375,22.8808
2.41572,22.4228
2.42316,22.9408
2.43016,7.20441
2.43403,8.49514
2.43511,23.0089
2.4407,7.24955
2.44088,12.2497
2.44437,13.5573
2.44844,7.24615
2.4631,7.52986
2.46765,7.20942
2.47265,7.25568
2.4735,11.5145
2.47865,7.22782
2.49088,43.6242
2.49266,7.2353
2.49789,7.36309
2.49835,11.8111
2.50184,7.30001
2.50302,7.22
2.50573,7.69626
2.51248,42.7222
2.51865,7.26675
2.52794,22.9223
2.53256,22.9119
2.53282,7.21164
2.5362,22.9871
2.54206,7.21328
2.5456,7.23937
2.56005,23.0419
2.56576,7.23494
2.57646,23.032
2.57906,7.40096
2.58608,7.24384
2.58636,7.2816
2.58976,22.9986
2.59676,22.886
2.59688,7.2957
2.59739,7.40975
2.60277,7.2186
2.60372,7.22283
2.61055,12.3236
2.61283,22.8845
2.61538,12.419
2.61785,7.2411
2.61908,7.27876
2.62213,10.6535
2.63725,7.22356
2.64743,22.9891
2.65105,22.8874
2.65473,7.24455
2.66021,7.32038
2.6738,23.156
2.67598,23.057
2.67691,7.41433
2.67704,22.9043
2.68436,7.20839
2.68729,9.3522
2.70096,7.28238
2.70191,23.1116
2.70684,7.21467
2.70796,7.2284
2.71016,7.33776
2.71446,7.25313
2.71592,7.69731
2.71601,22.9069
2.71815,7.33532
2.72502,7.40563
2.73734,7.24159
2.74448,7.20303
2.74671,7.32403
2.75247,7.42656
2.76161,7.22045
2.77076,7.27177
2.77272,7.2687
2.78221,22.9388
2.78865,22.9917
2.78933,7.26498
2.79083,7.6366
2.79319,7.33503
2.7985,7.4968
2.80302,22.9447
2.80364,22.9063
2.81658,7.49578
2.81755,11.3509
2.81914,28.0661
2.82161,7.21556
2.83863,7.22785
2.84071,7.31846
2.85592,7.30635
2.85828,7.2727
2.8643,7.22786
2.86633,7.26182
2.86653,22.9165
2.87018,7.255
2.8737,7.39532
2.88669,7.30311
2.89272,7.26061
2.89415,22.9795
2.89601,9.0402
2.89884,38.9739
2.90128,57.3313
2.91066,22.9004
2.92136,7.23874
2.92432,54.8681
2.9248,75.3515
2.92913,7.26361
2.93325,7.2203
2.94088,7.22077
2.94301,7.24115
2.95286,7.34394
2.95667,7.25552
2.95891,7.24244
2.96039,23.1338
2.96647,7.30535
2.96878,7.27788
2.96913,7.3599
2.9718,22.8844
2.97928,7.51165
2.98265,7.24777
2.98394,7.26952
2.99355,7.30248
2.99393,26.6672
3.00308,23.0126
3.00654,7.41215
3.00777,7.24783
3.01089,22.9376
3.01541,7.24754
3.02586,7.28271
3.0286,7.34547
3.0288,7.23764
3.02885,23.0099
3.03443,7.27885
3.03785,23.3229
3.0442,7.23531
3.0465,23.0528
3.04968,7.26991
3.051,39.1927
3.05187,7.27043
3.05452,7.27524
3.05459,9.5278
3.05907,10.1055
3.08899,7.21487
3.09385,7.44221
3.10004,7.34093
3.10255,22.9424
3.10503,23.0785
3.10712,7.23197
3.11034,38.3023
3.11166,7.28024
3.11352,7.21619
3.11478,7.40051
3.11805,9.00305
3.12778,7.42614
3.12892,7.26018
3.13058,7.25474
3.13715,7.40078
3.13909,7.23435
3.14306,7.22894
3.14456,7.26351
3.14748,22.9816
3.15134,7.24946
3.15447,7.34872
3.16043,7.2688
3.16475,7.21883
3.166,7.23607
3.1711,22.9387
3.18482,22.9065
3.18574,42.6598
3.18825,7.24704
3.19361,7.30151
3.19393,22.9321
3.19405,7.26256
3.19469,7.25502
3.20435,7.24206
3.21071,7.26249
3.21731,7.32217
3.22688,7.25226
3.23559,7.20406
3.23959,22.8984
3.24608,22.9157
3.24755,12.2759
3.2482,41.5213
3.25548,7.20544
3.25704,7.21335
3.25855,22.8793
3.26425,7.41524
3.2794,22.9115
3.28379,22.9058
3.28487,22.9022
3.29674,31.7114
3.30172,7.26239
3.31072,7.22858
3.31137,7.20168
3.31859,7.29752
3.32781,7.23551
3.33204,7.31008
3.33455,7.2142
3.34545,7.35949
3.34787,7.24047
3.35248,7.30963
3.36713,7.31794
3.37102,22.9241
3.38302,7.20464
3.38927,22.9171
3.39225,22.9229
3.39868,7.20121
3.4005,7.21192
3.40927,7.24225
3.41714,7.38282
3.41937,22.9083
3.42182,7.3151
3.43285,7.21331
3.43663,7.2395
3.43801,7.26429
3.44126,7.29735
3.45581,22.891
3.45588,7.57081
3.46006,7.2449
3.46106,7.26635
3.47279,23.3015
