packet_id,server_id,client_send_time(s),server_Rev_Time(s),server_Send_Time(s),client_rev_time(s),latency(ms),queue_len
0,5,1,1.0011,1.0061,1.00723,7.22845,1
5,15,1.0014,1.0025,1.02318,1.02432,22.9199,1
19,2,1.00678,1.00788,1.01288,1.01401,7.23218,1
24,1,1.00918,1.01028,1.01529,1.01659,7.41031,1
38,7,1.0134,1.0145,1.01951,1.02076,7.36263,1
104,4,1.01904,1.02014,1.02514,1.02626,7.21443,1
158,1,1.02306,1.02416,1.02916,1.03034,7.28363,1
206,2,1.04768,1.04878,1.05379,1.05502,7.34295,1
211,13,1.05083,1.05193,1.0726,1.07373,22.9006,1
257,12,1.05585,1.05695,1.07762,1.07873,22.8807,1
262,7,1.05959,1.06069,1.06569,1.06683,7.23655,1
276,3,1.07041,1.07151,1.07651,1.0777,7.28922,1
290,5,1.07382,1.07492,1.07992,1.08111,7.29065,1
350,15,1.08416,1.08526,1.10598,1.10729,23.1294,1
355,15,1.08836,1.08946,1.12666,1.12782,39.4555,1
358,1,1.08877,1.08987,1.09487,1.09602,7.24785,1
361,1,1.08922,1.09032,1.09988,1.10108,11.8628,1
368,2,1.08989,1.09099,1.096,1.0973,7.40947,1
388,13,1.09572,1.09682,1.11751,1.11869,22.9623,1
410,0,1.09603,1.09713,1.10214,1.1033,7.26344,1
437,3,1.09619,1.09729,1.10229,1.10343,7.24907,1
464,9,1.09819,1.09929,1.11997,1.12111,22.9176,1
532,14,1.1025,1.1036,1.12432,1.12566,23.1642,1
535,10,1.10343,1.10453,1.12523,1.12651,23.0824,1
607,13,1.10745,1.10855,1.13819,1.13932,31.876,1
612,15,1.11665,1.11775,1.14733,1.14843,31.7787,1
651,3,1.1236,1.1247,1.1297,1.13088,7.27707,1
833,4,1.14596,1.14706,1.15206,1.15319,7.23297,1
843,12,1.14787,1.14897,1.16968,1.17097,23.0991,1
848,13,1.15118,1.15228,1.17296,1.17412,22.9449,1
862,15,1.15531,1.15641,1.17709,1.17823,22.9207,1
924,5,1.17284,1.17394,1.17894,1.18007,7.2266,1
944,15,1.17375,1.17485,1.19776,1.19887,25.1236,1
958,15,1.17716,1.17826,1.21844,1.21959,42.4341,1
974,0,1.18038,1.18148,1.18648,1.18759,7.20954,1
982,6,1.18654,1.18765,1.19265,1.19387,7.32804,1
1026,8,1.19696,1.19806,1.20306,1.20418,7.21848,1
1036,12,1.19867,1.19977,1.22044,1.22159,22.9223,1
1039,3,1.19896,1.20006,1.20506,1.2062,7.2397,1
1060,15,1.21254,1.21364,1.23911,1.24023,27.6905,1
1063,10,1.21287,1.21397,1.23465,1.23582,22.9561,1
1066,14,1.21333,1.21443,1.23513,1.23637,23.041,1
1075,9,1.21458,1.21568,1.23636,1.2375,22.9126,1
1097,11,1.21871,1.21981,1.24053,1.24183,23.1226,1
1115,3,1.22215,1.22325,1.22825,1.22942,7.27378,1
1203,8,1.23594,1.23704,1.24205,1.24334,7.39507,1
1344,15,1.24416,1.24526,1.26594,1.26708,22.9135,1
1349,1,1.25122,1.25232,1.25732,1.25855,7.33356,1
1352,8,1.25143,1.25253,1.25754,1.25882,7.3937,1
1359,13,1.25672,1.25782,1.27849,1.27962,22.899,1
1458,13,1.26099,1.26209,1.29918,1.30037,39.3811,1
1468,3,1.26599,1.26709,1.2721,1.27332,7.32929,1
1475,5,1.26662,1.26772,1.27273,1.27387,7.24745,1
1482,7,1.26938,1.27048,1.27548,1.27666,7.27529,1
1537,13,1.27386,1.27497,1.31988,1.32109,47.2274,2
1549,13,1.2755,1.2766,1.34061,1.34199,66.4904,3
1568,14,1.27705,1.27815,1.29884,1.30004,22.9844,1
1573,4,1.27812,1.27922,1.28422,1.28536,7.24184,1
1581,10,1.27865,1.27975,1.30043,1.30157,22.9199,1
1588,10,1.28049,1.28159,1.32111,1.3223,41.8053,1
1593,13,1.28328,1.28438,1.36129,1.36243,79.1517,3
1611,2,1.28597,1.28707,1.29207,1.29326,7.29476,1
1616,13,1.28845,1.28955,1.38196,1.38308,94.6296,4
1621,5,1.28985,1.29095,1.29596,1.29711,7.2602,1
1626,12,1.29101,1.29211,1.31281,1.31402,23.0129,1
1629,9,1.2917,1.2928,1.31352,1.31482,23.119,1
1740,13,1.30043,1.30153,1.40267,1.40394,103.511,4
1795,10,1.31303,1.31413,1.34181,1.34302,29.9907,1
1861,0,1.31562,1.31672,1.32172,1.32286,7.23559,1
1866,13,1.31685,1.31795,1.42336,1.42455,107.701,5
1871,1,1.31974,1.32084,1.32584,1.32698,7.23998,1
1947,3,1.32265,1.32375,1.32875,1.32988,7.2312,1
1999,15,1.34069,1.34179,1.36247,1.36362,22.9242,1
2093,5,1.34529,1.34639,1.3514,1.35265,7.35649,1
2098,7,1.34783,1.34893,1.35394,1.3551,7.26615,1
2148,5,1.35324,1.35434,1.35935,1.36049,7.24828,1
2170,0,1.35535,1.35645,1.36146,1.36271,7.36031,1
2175,10,1.35645,1.35755,1.37823,1.37936,22.9137,1
2178,4,1.35659,1.35769,1.36269,1.36381,7.21218,1
2181,4,1.35737,1.35847,1.3677,1.36885,11.4785,1
2186,6,1.35751,1.35861,1.36362,1.36482,7.30093,1
2202,4,1.3594,1.3605,1.3727,1.37387,14.4705,2
2211,15,1.35977,1.36087,1.38314,1.38426,24.4941,1
2361,0,1.37796,1.37906,1.38407,1.38528,7.32015,1
2373,15,1.37846,1.37956,1.40387,1.40521,26.7421,1
2423,13,1.3883,1.3894,1.44403,1.44517,56.8713,1
2426,13,1.38869,1.38979,1.4647,1.4658,77.1113,2
2431,4,1.38954,1.39064,1.39564,1.39675,7.21027,1
2438,1,1.39475,1.39585,1.40086,1.402,7.249,1
2448,7,1.4005,1.4016,1.4066,1.40781,7.31519,1
2464,12,1.40127,1.40237,1.42309,1.42441,23.1402,1
2597,8,1.40464,1.40574,1.41074,1.41187,7.2352,1
2602,5,1.40598,1.40708,1.41208,1.4133,7.31741,1
2682,0,1.41691,1.41801,1.42302,1.42424,7.3331,1
