Sim latency at ReqAveWait:0.00333333 ReqSize:8192B SampleNum:160000 Ave:1328.6991 P50:22.9006 P90:6188.0775 P99:11712.7187 P999:12111.1766 P9999:12225.8641
startTime,latency
1,7.24321
1.00001,22.9665
1.00171,7.35805
1.00461,7.35058
1.01408,7.20572
1.01766,7.2065
1.0206,7.2691
1.02204,7.26756
1.02795,23.0655
1.03177,22.9534
1.03885,7.37477
1.03906,7.20282
1.04504,7.29024
1.0494,23.0214
1.05326,39.7575
1.05745,7.23569
1.06179,7.92866
1.06227,7.51483
1.06667,23.0436
1.06983,7.24659
1.07101,7.26424
1.07506,23.0799
1.08056,22.9852
1.08408,22.8773
1.09014,23.0244
1.09425,23.4985
1.09455,7.26726
1.0955,7.26153
1.096,22.9269
1.10389,29.862
1.10706,30.9401
1.10724,7.23925
1.11133,47.2761
1.11497,64.438
1.1156,7.20235
1.11668,7.32707
1.12824,7.20444
1.13,22.9553
1.1304,7.25065
1.14163,58.4508
1.15108,22.9546
1.15317,22.9652
1.15368,22.9246
1.16501,22.9056
1.16516,7.21083
1.16541,7.27997
1.17621,44.6536
1.17841,7.25789
1.18399,7.2027
1.18611,23.0813
1.18735,42.401
1.18757,7.23576
1.19136,7.26188
1.19305,7.32723
1.19538,55.1013
1.19589,75.1957
1.19904,22.9055
1.20131,7.252
1.20541,22.9148
1.21271,36.3473
1.21788,74.206
1.22106,7.20325
1.22231,90.1981
1.22427,7.21672
1.2257,22.9595
1.23322,22.9441
1.23406,99.0913
1.2361,33.9009
1.23694,7.32364
1.24517,108.653
1.24517,7.23548
1.2465,7.33376
1.25015,22.9854
1.25525,7.23267
1.25546,7.3219
1.26343,7.22597
1.26521,7.25457
1.26651,23.893
1.27128,7.29621
1.27182,11.8171
1.2826,7.22189
1.29866,7.22803
1.30169,23.1546
1.31393,7.24116
1.31564,29.7023
1.32131,53.2277
1.32798,67.2165
1.32898,7.23968
1.33197,7.29219
1.33485,7.27979
1.33496,23.0579
1.33992,7.3249
1.34112,7.3139
1.34231,7.30098
1.34833,67.6917
1.35205,7.31681
1.35208,7.22734
1.35584,7.21473
1.35657,80.0687
1.35765,7.28284
1.3577,99.6269
1.3601,7.25084
1.36033,117.651
1.36607,7.30328
1.37001,22.9586
1.37329,40.3576
1.37332,125.301
1.37666,142.702
1.38174,7.27384
1.38217,23.0324
1.38316,23.0016
1.38386,7.32429
1.39192,148.062
1.39698,7.27571
1.4029,23.894
1.40753,153.23
1.41114,7.26589
1.41285,7.28303
1.41446,22.9074
1.42177,7.25469
1.42356,7.23025
1.42619,155.179
1.42847,22.9455
1.42873,22.8897
1.43701,7.27284
1.43865,7.40629
1.4407,23.0418
1.4426,159.617
1.44282,29.5506
1.44633,7.21357
1.45004,173.064
1.4556,7.28676
1.45951,24.7982
1.46177,31.2591
1.46663,47.3735
1.47408,7.43461
1.47458,59.9291
1.47523,11.1561
1.47876,7.26095
1.47928,22.8738
1.48603,36.9572
1.4865,7.20409
1.48954,7.50268
1.49187,7.4178
1.49284,7.57561
1.49316,61.949
1.49481,7.22651
1.49564,7.20931
1.50182,7.43149
1.50757,7.27065
1.50821,35.4823
1.51222,7.35375
1.51433,61.4992
1.51567,101.605
1.51613,121.84
1.51933,44.9968
1.52635,7.30479
1.52749,7.24568
1.53191,111.77
1.53797,7.40524
