Sim latency at ReqAveWait:0.005 ReqSize:8192B SampleNum:40000 Ave:23.0760 P50:22.8842 P90:50.2877 P99:114.3058 P999:183.4159 P9999:256.2503
startTime,latency
1,7.2028
1.00181,23.0163
1.01149,7.33313
1.01523,7.27286
1.01525,7.22773
1.01722,7.22602
1.02399,7.22948
1.03001,7.22882
1.03056,22.9199
1.03929,22.9244
1.04892,7.31783
1.05035,7.32217
1.05354,7.23632
1.07261,22.9103
1.07576,40.4428
1.07617,7.33399
1.08358,7.24576
1.08738,7.23391
1.09159,22.8899
1.0925,7.24824
1.09964,7.23068
1.10157,23.1067
1.10359,22.8885
1.12301,23.0191
1.12336,23.1505
1.12584,22.9326
1.12599,7.33648
1.13333,7.25295
1.13397,22.8715
1.13618,30.8023
1.15163,22.9072
1.16772,7.27468
1.17338,22.9233
1.17487,42.2209
1.17696,7.25593
1.178,7.25993
1.19155,7.285
1.19449,22.9018
1.19856,7.208
1.19979,37.8857
1.22732,22.8911
1.22844,22.9453
1.23982,22.9247
1.2543,22.8754
1.28904,7.26916
1.29671,7.21131
1.29999,23.0784
1.30598,7.2226
1.30606,7.48589
1.3099,22.8895
1.31708,36.4857
1.31951,7.23132
1.32013,7.2065
1.33073,7.25494
1.36476,23.0271
1.36561,42.7768
1.38157,22.9223
1.38297,7.3176
1.38638,23.0282
1.39268,37.5629
1.40894,22.9609
1.41041,7.23656
1.41685,35.7457
1.41865,7.31217
1.41945,23.0271
1.43117,22.9284
1.4313,42.0238
1.44952,22.9774
1.45819,7.25398
1.46252,31.3835
1.46329,7.34787
1.4676,7.30526
1.46925,22.9237
1.47785,7.33089
1.47835,7.33417
1.48115,8.93652
1.48153,7.26146
1.48161,22.9031
1.48334,7.2576
1.48507,10.4966
1.48767,7.42714
1.49401,7.21382
1.49798,22.9027
1.51154,7.25908
1.51661,24.9898
1.51679,22.9905
1.52073,39.7492
1.52147,7.27823
1.54292,7.2523
1.55112,7.30434
1.55388,22.9069
1.55464,7.23392
1.56891,7.3065
1.5753,7.32043
1.5799,22.9277
1.58161,7.35735
1.58667,7.2087
1.58837,7.27438
1.58868,34.8928
1.59753,7.29444
1.60398,40.1629
1.60992,7.23224
1.61531,49.6629
1.61985,7.22265
1.62359,22.9965
1.62598,41.3833
1.62814,57.4026
1.62833,77.8874
1.64264,7.22625
1.64865,22.9079
1.64868,22.9496
1.64968,7.23508
1.651,75.9042
1.65572,7.25695
1.65701,35.3341
1.66137,86.1778
1.66266,7.24924
1.66551,7.26128
1.66652,23.0874
1.66866,7.26176
